patch,median_move_vox,meijering_snap,meijering_random,raw_ct_snap,raw_ct_random,medial_points
s1_z1920_y2304_x2880,3.69,0.219,0.0319,0.1405,0.009,2575
s1_z576_y2880_x3456,3.685,0.1815,0.0199,0.1146,0.0123,3831
s1_z5568_y2880_x4608,3.684,0.2499,0.0326,0.137,0.0129,2260
s1_z5952_y2880_x4608,3.684,0.2399,0.0315,0.1556,0.0089,2367
s1_z10240_y4160_x3520,3.68,0.2235,0.0324,0.1337,0.0055,16313
s1_z5760_y2688_x3072,3.676,0.2198,0.0257,0.1455,0.0182,2309
s1_z7168_y3584_x4096,3.661,0.1932,0.0331,0.128,0.016,7898
s1_z10560_y2880_x2560,3.649,0.2276,0.0301,0.1295,0.0104,14333
s1_z4416_y2304_x2496,3.649,0.1853,0.0172,0.1204,0.0081,2673
s1_z1344_y2304_x4800,3.647,0.2622,0.0318,0.1664,0.0101,2112
s1_z768_y2880_x4416,3.642,0.2055,0.033,0.1275,0.0078,3228
s1_z6144_y3264_x4800,3.639,0.2599,0.043,0.1615,0.02,1922
s1_z8192_y3840_x3584,3.638,0.2508,0.0454,0.1549,0.0147,4925
s1_z5184_y2688_x4608,3.637,0.2333,0.0386,0.1637,0.0205,2005
s1_z10880_y4480_x3200,3.635,0.1975,0.0293,0.116,0.0102,12643
s1_z960_y2688_x4608,3.633,0.1958,0.0261,0.1255,0.004,2996
s1_z192_y2304_x4800,3.63,0.2527,0.0459,0.1436,0.0101,2631
s1_z2496_y2112_x4608,3.628,0.2059,0.039,0.135,0.0179,2742
s1_z7424_y3072_x4608,3.626,0.2028,0.0279,0.1217,0.0124,5461
s1_z960_y2304_x4608,3.623,0.2085,0.0331,0.1168,0.0121,2537
s1_z4800_y2496_x4800,3.622,0.2101,0.0207,0.1251,0.0101,2143
s1_z5952_y2880_x4224,3.618,0.2481,0.0397,0.1432,0.0073,2735
s1_z7168_y3072_x4608,3.617,0.2158,0.0303,0.1178,0.0117,7497
s1_z5760_y2688_x2880,3.611,0.244,0.0349,0.1571,0.016,2293
s1_z9600_y2560_x2560,3.611,0.2126,0.0172,0.1314,0.0072,15135
s1_z10560_y3840_x3520,3.601,0.2151,0.0364,0.1256,0.0141,11458
s1_z5376_y2688_x4800,3.6,0.2065,0.0194,0.1166,0.0084,2144
s1_z1344_y2688_x4992,3.599,0.2325,0.0419,0.1378,0.023,2067
s1_z5760_y2880_x4992,3.596,0.2165,0.02,0.1318,0.013,1800
s1_z9920_y2560_x2560,3.576,0.1994,0.0316,0.1301,0.013,13803
s1_z5760_y3264_x4416,3.574,0.2229,0.0435,0.1458,0.0168,2574
s1_z8704_y4096_x3840,3.567,0.218,0.0175,0.1298,-0.0044,6211
s1_z8448_y3328_x4096,3.566,0.2151,0.0332,0.116,0.011,6037
s4_z1792_y1280_x2560,3.562,0.1608,0.0155,0.0719,0.0011,4705
s1_z10560_y2880_x2880,3.555,0.2277,0.0401,0.1332,0.0169,11085
s1_z1344_y2112_x4992,3.552,0.2198,0.0399,0.1581,0.0349,1850
s1_z1728_y2112_x4608,3.551,0.2,0.0249,0.103,0.0041,2446
s1_z192_y2688_x4992,3.549,0.1979,0.022,0.1185,0.0025,2963
s1_z11200_y3840_x3520,3.548,0.2181,0.0353,0.1153,0.0105,12869
s1_z6912_y3072_x4608,3.548,0.2113,0.0309,0.1281,0.0077,8042
s1_z7424_y3072_x4096,3.544,0.2295,0.0383,0.1423,0.013,6068
s1_z384_y2304_x2880,3.541,0.1683,0.0174,0.1061,0.0076,1782
s1_z7936_y4096_x3072,3.54,0.1997,0.0222,0.1064,0.0069,7599
s1_z6912_y3328_x4608,3.534,0.1922,0.0265,0.1095,0.0087,6512
s1_z1920_y2496_x2496,3.52,0.1903,0.0226,0.1211,0.0119,2512
s1_z4992_y2304_x4800,3.52,0.2092,0.0324,0.1452,0.0157,3077
s1_z5760_y2880_x4416,3.519,0.1969,0.0264,0.128,0.0169,1460
s1_z10880_y2880_x2560,3.518,0.2205,0.0296,0.1293,0.0084,15759
s1_z1536_y2496_x2688,3.511,0.2325,0.0193,0.1265,-0.0013,2102
s4_z6656_y1792_x2560,3.503,0.1705,-0.001,0.0919,-0.0012,4170
s1_z5376_y2496_x4992,3.502,0.2062,0.0192,0.127,0.0037,2243
s1_z10240_y2880_x3200,3.497,0.2058,0.0285,0.1179,0.0106,18130
s4_z1792_y1024_x2816,3.497,0.0942,0.0102,0.0589,0.0023,3031
s1_z3456_y2496_x3264,3.491,0.2305,0.0469,0.1382,0.0148,1884
s1_z4992_y2688_x4992,3.491,0.164,0.0242,0.1092,0.0146,2084
s1_z5568_y2880_x4800,3.49,0.1779,0.0105,0.1108,0.006,1973
s1_z5184_y2304_x4800,3.488,0.203,0.0343,0.1124,0.0095,2777
s1_z6720_y3456_x4416,3.485,0.1882,0.0175,0.0974,0.0009,2913
s1_z7168_y3584_x4608,3.478,0.2077,0.0278,0.1131,0.0085,7958
s1_z8704_y2816_x2816,3.473,0.2178,0.033,0.1363,0.0129,4534
s1_z10240_y4480_x3520,3.472,0.2112,0.0148,0.1148,-0.0037,15259
s1_z5952_y2880_x4416,3.47,0.2246,0.027,0.1484,0.0117,1817
s1_z960_y2880_x4608,3.47,0.1962,0.0313,0.1266,0.0158,3080
s1_z5760_y2304_x2688,3.459,0.1805,0.0203,0.1351,0.0155,3525
s1_z960_y2496_x4608,3.459,0.2277,0.0424,0.1488,0.0149,2964
s1_z8704_y3072_x3840,3.454,0.1963,0.0257,0.1212,0.0089,6196
s1_z8960_y3840_x3584,3.452,0.1961,0.0332,0.0984,0.0061,6522
s4_z9472_y1024_x2048,3.449,0.1659,0.0115,0.0759,0.0046,5478
s1_z6528_y2496_x4608,3.439,0.1936,0.0263,0.1232,0.0056,2170
s1_z9472_y2560_x3072,3.436,0.2095,0.0225,0.1399,0.0096,6460
s4_z2304_y1024_x1280,3.431,0.1441,0.0081,0.0697,0.0017,5569
s4_z6912_y2304_x2560,3.43,0.1745,0.0183,0.0888,0.0046,4330
s1_z11200_y2880_x2880,3.417,0.2077,0.0314,0.1112,0.0108,17212
s1_z1344_y2304_x2688,3.414,0.2443,0.0366,0.1487,0.0126,1854
s1_z5760_y2496_x2496,3.414,0.1878,0.0179,0.1281,0.0092,2801
s1_z8448_y4352_x3328,3.408,0.178,0.0216,0.1174,0.01,7059
s4_z9216_y1536_x2304,3.407,0.163,0.0078,0.094,0.0051,4141
s1_z12160_y4800_x2880,3.406,0.1982,0.027,0.1118,0.0044,12987
s1_z1536_y1920_x4416,3.405,0.2161,0.0366,0.1251,0.012,3084
s1_z6336_y3456_x4224,3.405,0.2231,0.0401,0.1399,0.0118,2854
s1_z5184_y2688_x5184,3.399,0.1773,0.0215,0.1265,0.0116,1908
s1_z6912_y2816_x2816,3.394,0.1815,0.0262,0.1058,0.0106,6206
s1_z5760_y2688_x4608,3.39,0.2148,0.009,0.129,0.0014,2337
s1_z5760_y3072_x4608,3.387,0.2207,0.031,0.1418,0.0146,2411
s4_z2816_y2048_x1280,3.382,0.1272,0.0071,0.061,0.0025,5180
s1_z1920_y2112_x4608,3.381,0.255,0.0399,0.1304,0.006,2647
s1_z7680_y3072_x3840,3.381,0.186,0.0263,0.1136,0.0103,7294
s1_z5376_y2688_x5184,3.38,0.1841,0.0235,0.1184,0.0113,1430
s4_z4096_y2048_x1536,3.38,0.1037,0.007,0.0592,0.0002,4796
s4_z2560_y2048_x1280,3.375,0.1741,0.0126,0.0915,-0.001,5742
s1_z5376_y2688_x4992,3.374,0.1637,0.0233,0.1184,0.0146,1783
s1_z1728_y1920_x4416,3.365,0.2025,0.025,0.1418,0.0149,2617
s1_z576_y2112_x3072,3.364,0.1588,0.025,0.103,0.0176,4289
s1_z3456_y2496_x3456,3.357,0.2161,0.0388,0.1162,0.0101,2624
s1_z9216_y2816_x2816,3.342,0.199,0.0285,0.1215,0.009,7281
s1_z5568_y2688_x4224,3.341,0.1818,0.0241,0.0926,0.0027,2179
s1_z4416_y2496_x2496,3.34,0.2066,0.0235,0.1232,0.0057,3092
s1_z10880_y2880_x2880,3.339,0.216,0.0256,0.14,0.0112,12270
s1_z4032_y2496_x2496,3.338,0.2032,0.0123,0.1363,0.0087,2735
s1_z11520_y3200_x2560,3.334,0.199,0.0303,0.1126,0.01,17543
s1_z8704_y3328_x3840,3.333,0.1924,0.0247,0.1198,0.0109,4993
s1_z1152_y2304_x4800,3.329,0.1974,0.0344,0.1442,0.0239,3282
s1_z1728_y2496_x2880,3.329,0.1827,0.0216,0.1379,0.0174,2459
s1_z192_y2304_x3072,3.329,0.2206,0.0277,0.156,0.0154,2636
s4_z1792_y512_x1536,3.329,0.1023,0.0018,0.0494,-0.0,7042
s1_z9472_y3328_x4096,3.328,0.1884,0.0352,0.0989,0.0151,7577
s1_z6720_y2496_x3840,3.322,0.2031,0.0297,0.1186,0.0051,3954
s1_z10880_y3840_x3840,3.319,0.1972,0.0338,0.114,0.0155,15835
s1_z5760_y2496_x4608,3.319,0.2193,0.0311,0.1383,0.0066,2964
s1_z1344_y2496_x4608,3.318,0.1886,0.0376,0.1182,0.0207,2460
s1_z6144_y2688_x4608,3.317,0.2003,0.0293,0.1333,0.0118,3366
s1_z960_y2880_x3264,3.317,0.2032,0.0216,0.1274,0.0092,2360
s1_z6720_y3264_x2688,3.3,0.1747,0.0066,0.0856,-0.001,2701
s1_z4800_y2304_x2880,3.295,0.2092,0.0167,0.1057,0.0023,2037
s4_z2304_y1280_x2560,3.295,0.1118,0.0057,0.0534,-0.0007,4947
s1_z10560_y2880_x3200,3.294,0.1847,0.0279,0.0992,0.0089,21434
s1_z5376_y3264_x4416,3.292,0.2264,0.0303,0.1221,0.0064,4148
s1_z8704_y3328_x4096,3.291,0.1867,0.0303,0.0964,0.0055,7727
s1_z9472_y2560_x2560,3.284,0.2127,0.0181,0.1206,0.0076,7244
s1_z4992_y2304_x2880,3.279,0.2369,0.0399,0.1683,0.0209,3415
s1_z9920_y2880_x2560,3.278,0.2199,0.0267,0.1197,0.0105,17144
s1_z4416_y2496_x4800,3.276,0.1654,0.0206,0.0943,0.0065,3432
s1_z4800_y2496_x4992,3.272,0.1983,0.0294,0.1101,0.0109,1945
s1_z960_y2304_x4992,3.272,0.2273,0.0289,0.1444,0.0151,1641
s1_z4224_y2496_x2688,3.27,0.1963,0.009,0.1339,0.0056,2899
s1_z6912_y3328_x4864,3.269,0.1858,0.0206,0.104,0.0089,5661
s1_z6144_y2880_x4224,3.267,0.2071,0.0274,0.143,0.0114,3378
s4_z9472_y2304_x1792,3.266,0.179,0.0146,0.0733,-0.0029,4316
s1_z11840_y3200_x2560,3.265,0.1939,0.0261,0.1248,0.0142,16295
s1_z7424_y2816_x4352,3.264,0.2031,0.0237,0.1332,0.0113,6689
s1_z8704_y4096_x4096,3.263,0.1801,0.0243,0.0881,0.004,7097
s1_z5760_y2880_x4800,3.258,0.2072,0.0279,0.1348,0.0107,1970
s4_z2560_y1792_x1792,3.258,0.1161,0.0033,0.0593,-0.0022,5777
s4_z5376_y2048_x2560,3.258,0.1332,0.0109,0.076,0.003,4249
s1_z7168_y3072_x4096,3.252,0.157,0.0161,0.0806,0.0038,6792
s1_z11200_y3840_x3840,3.251,0.1828,0.0302,0.1031,0.0109,15350
s1_z10240_y4480_x3200,3.235,0.2064,0.0199,0.1266,0.0045,10450
s1_z10880_y3840_x3520,3.234,0.2023,0.0278,0.1115,0.012,11633
s1_z8960_y2304_x2816,3.224,0.1523,0.0202,0.1087,0.0125,8325
s1_z960_y2496_x4992,3.219,0.1979,0.0154,0.1279,0.0143,1094
s1_z11200_y4800_x2560,3.211,0.1666,0.0276,0.1015,0.0091,16245
s1_z6144_y3456_x4416,3.211,0.1988,0.0346,0.1213,0.014,3025
s4_z8960_y2304_x2304,3.206,0.1533,0.0095,0.0712,0.001,4239
s1_z7424_y3584_x4608,3.205,0.202,0.0364,0.1157,0.011,10013
s1_z11200_y3200_x2560,3.195,0.1684,0.0225,0.1115,0.0106,16599
s4_z6912_y1792_x2560,3.193,0.1202,-0.0008,0.0705,-0.0035,4579
s1_z10560_y3200_x3520,3.184,0.1752,0.03,0.0955,0.0125,18063
s4_z1536_y512_x1536,3.184,0.1347,0.0062,0.0709,-0.0003,6062
s1_z768_y2304_x4992,3.182,0.1787,0.0255,0.1093,0.0071,2724
s1_z192_y1920_x3648,3.181,0.1896,0.029,0.1268,0.0198,4869
s4_z6656_y2048_x2560,3.181,0.1584,0.0055,0.0738,-0.0051,3747
s4_z2304_y2048_x1536,3.18,0.0884,0.0023,0.0447,-0.0024,4431
s1_z3840_y2496_x4224,3.174,0.1945,0.0287,0.119,0.0098,3806
s1_z10560_y4480_x2880,3.169,0.1968,0.0247,0.1114,0.008,15961
s1_z1152_y2112_x4992,3.166,0.1811,0.029,0.1018,0.0098,1646
s1_z5952_y2688_x3072,3.165,0.2126,0.0225,0.1368,0.0091,3121
s1_z192_y2688_x4608,3.162,0.1947,0.0245,0.1253,0.0082,4072
s4_z9984_y256_x1024,3.158,0.1377,0.0127,0.0629,0.0043,7900
s1_z8704_y3840_x3840,3.153,0.1902,0.03,0.099,0.0082,7611
s1_z1920_y2304_x2496,3.15,0.2106,0.0221,0.1237,0.0096,2138
s4_z5120_y1280_x768,3.147,0.1412,0.0049,0.0777,0.0037,5197
s1_z6336_y2304_x3264,3.135,0.1575,0.023,0.1011,0.0078,2595
s1_z8448_y2560_x2816,3.135,0.1825,0.0261,0.1184,0.0146,6251
s4_z4352_y1536_x2304,3.134,0.1262,-0.0017,0.0653,-0.0044,4174
s1_z6144_y2880_x4992,3.133,0.1979,0.0242,0.1202,0.008,2511
s1_z5184_y2496_x4992,3.132,0.1918,0.0294,0.1251,0.013,2388
s4_z8704_y1792_x2560,3.131,0.1202,0.0019,0.085,0.0019,3467
s4_z6144_y1792_x512,3.127,0.1208,-0.0038,0.0577,-0.0046,5470
s1_z1920_y2496_x4416,3.123,0.1661,0.0321,0.0826,0.0077,2528
s4_z9472_y512_x768,3.122,0.1339,-0.0054,0.0633,-0.0027,5722
s1_z1920_y1920_x4416,3.117,0.1513,0.0129,0.0917,0.0066,4633
s1_z9600_y3200_x3840,3.111,0.1685,0.0198,0.0998,0.0102,16185
s1_z5568_y2496_x2496,3.109,0.1721,0.0049,0.0999,-0.005,1967
s1_z5568_y2688_x4800,3.108,0.1889,0.017,0.1169,0.0007,2370
s1_z1920_y2496_x2688,3.107,0.1947,0.025,0.091,0.0043,2195
s1_z5376_y2496_x4800,3.103,0.1785,0.0246,0.1173,0.0073,3851
s1_z5952_y2496_x4608,3.103,0.1802,0.0164,0.0939,0.0016,2682
s1_z10560_y3840_x3840,3.102,0.1894,0.0301,0.1096,0.0082,12171
s1_z6336_y3648_x4608,3.102,0.1577,0.0217,0.087,0.0049,3008
s1_z192_y2496_x3072,3.101,0.1619,0.021,0.0995,0.0107,3171
s1_z576_y2880_x3648,3.101,0.1811,0.0254,0.1142,0.0057,3581
s1_z5760_y2496_x3072,3.098,0.2111,0.0402,0.1333,0.0179,4637
s1_z9600_y2560_x2880,3.097,0.2021,0.0275,0.1174,0.0125,21115
s1_z1152_y2496_x2880,3.096,0.2097,0.0267,0.1206,0.0088,3323
