patch,median_move_vox,meijering_snap,meijering_random,raw_ct_snap,raw_ct_random,medial_points
s4_z3840_y1536_x2560,2.538,0.0973,-0.0011,0.0547,-0.0022,4741
s1_z1920_y1920_x4608,2.535,0.1383,0.0097,0.0687,-0.0026,4319
s4_z6912_y1280_x1792,2.535,0.1244,0.0041,0.061,-0.0056,3011
s1_z8960_y4096_x3840,2.533,0.1579,0.0181,0.0947,0.0025,8988
s4_z5120_y1024_x1280,2.533,0.0989,0.0025,0.0435,-0.0013,7675
s1_z9472_y4096_x3072,2.532,0.1332,0.0142,0.0684,0.0013,10018
s1_z6144_y2880_x4608,2.53,0.1286,-0.0003,0.0734,0.0004,2829
s4_z3584_y2304_x1536,2.53,0.0859,0.0012,0.0434,-0.0014,3115
s4_z6144_y1024_x1024,2.53,0.1298,0.0013,0.0714,-0.0025,2248
s4_z8704_y1280_x2304,2.53,0.1246,0.005,0.0658,0.0003,7680
s1_z4224_y2496_x4608,2.529,0.1369,0.0224,0.0777,0.0084,3600
s1_z8448_y4096_x2816,2.529,0.1327,0.0147,0.0816,0.0078,9437
s1_z5760_y2496_x4224,2.528,0.1459,0.0151,0.0851,0.0044,4064
s1_z6528_y3264_x2880,2.526,0.1143,0.011,0.0668,0.0056,3800
s1_z384_y2304_x2688,2.525,0.1424,0.019,0.0889,0.0114,2153
s1_z5568_y2496_x4992,2.525,0.1838,0.0303,0.1251,0.0102,2584
s4_z5120_y1536_x2560,2.525,0.0728,-0.0015,0.0448,-0.0026,7695
s1_z5760_y3264_x4608,2.523,0.1435,0.0129,0.0705,-0.0007,2102
s4_z1024_y2048_x1280,2.523,0.0739,-0.0049,0.0416,-0.0027,5240
s4_z5376_y1280_x2304,2.523,0.1241,0.0005,0.0573,-0.0048,8532
s1_z7424_y2816_x3840,2.522,0.1228,0.0016,0.0564,-0.007,6759
s4_z7680_y1280_x1536,2.521,0.0699,-0.0006,0.0338,-0.0025,5550
s4_z4352_y1280_x2560,2.519,0.0948,0.0012,0.0607,-0.0023,4563
s4_z3328_y2048_x1024,2.514,0.0982,0.0083,0.0529,0.0028,4851
s1_z5568_y3264_x3264,2.513,0.1235,0.011,0.0697,0.0022,4315
s4_z7424_y2304_x2560,2.513,0.0971,0.0072,0.0504,0.0016,6336
s1_z6912_y4096_x3328,2.511,0.1451,0.0125,0.0848,0.0023,8716
s4_z9728_y512_x1024,2.511,0.1014,0.0029,0.047,-0.0023,6596
s1_z6720_y3456_x2880,2.509,0.1143,-0.0021,0.0755,-0.0042,3475
s4_z5888_y2304_x2560,2.508,0.0698,0.0045,0.0353,-0.0008,7319
s1_z3840_y2304_x2496,2.507,0.1623,0.0094,0.0995,-0.0036,2634
s4_z4864_y1024_x1792,2.506,0.1211,0.0016,0.0519,-0.0016,7239
s4_z9216_y1024_x512,2.506,0.1034,-0.0019,0.0565,-0.002,6356
s1_z12160_y4800_x2560,2.504,0.1184,0.0053,0.0728,-0.0031,18790
s1_z1728_y1728_x4032,2.502,0.1334,0.0163,0.0825,0.0069,3152
s1_z1536_y1728_x4032,2.5,0.1237,0.0173,0.0736,0.0057,2589
s1_z4416_y2880_x3264,2.5,0.1432,0.0097,0.0702,0.0053,2900
s1_z1728_y2688_x2880,2.499,0.1448,0.0074,0.0804,-0.0027,2303
s1_z5760_y3072_x4800,2.497,0.1249,0.0174,0.075,0.0069,2378
s1_z4416_y2304_x4992,2.496,0.1502,0.0231,0.0915,0.0051,3078
s4_z1280_y768_x1280,2.493,0.1327,0.0082,0.0495,0.0018,6026
s4_z4608_y1792_x2304,2.493,0.1008,-0.0043,0.0481,-0.005,5370
s4_z8960_y1536_x2304,2.493,0.1181,-0.0017,0.0516,-0.0034,4531
s1_z5760_y2304_x4224,2.492,0.1299,0.009,0.0679,-0.0022,3966
s1_z6144_y3456_x4800,2.491,0.1427,0.0214,0.0807,0.0007,2258
s1_z11840_y3200_x2240,2.49,0.1417,0.0112,0.0837,0.0022,12975
s4_z5376_y1536_x2304,2.49,0.1267,-0.0064,0.0506,-0.0085,6375
s1_z960_y2496_x2880,2.489,0.1502,0.0184,0.0821,0.0034,4227
s4_z2304_y1536_x2560,2.489,0.0777,0.0046,0.0421,0.0003,6876
s1_z5760_y2304_x3648,2.487,0.1384,0.0149,0.0736,0.0008,3368
s4_z7680_y1280_x1280,2.486,0.1038,-0.0031,0.0515,-0.0049,5096
s1_z7168_y3840_x3840,2.485,0.1456,0.0219,0.0893,0.0074,10324
s4_z3328_y2304_x1024,2.485,0.1175,0.001,0.068,-0.004,6072
s4_z7168_y1792_x2560,2.485,0.148,0.0064,0.0782,-0.0003,5037
s1_z12160_y3200_x2560,2.484,0.1182,0.0074,0.0621,0.0019,15248
s4_z4352_y1024_x2304,2.483,0.0881,0.0089,0.0456,0.0003,5940
s1_z1536_y2112_x4800,2.481,0.1697,0.0123,0.1053,0.0031,2594
s4_z8192_y1024_x1536,2.481,0.1415,0.0118,0.0727,0.0008,4022
s4_z1792_y2048_x1536,2.48,0.0959,0.0063,0.0439,0.0002,3534
s4_z5632_y2560_x1536,2.48,0.0784,0.0017,0.0455,0.0001,5594
s1_z5760_y3264_x3072,2.479,0.1266,0.0111,0.0896,0.0083,2821
s4_z7936_y1280_x1280,2.479,0.1076,-0.0089,0.054,-0.0026,5420
s1_z11200_y3520_x3520,2.475,0.1087,0.0122,0.0577,0.0027,15193
s4_z1792_y512_x2304,2.475,0.0818,0.0102,0.0406,0.0008,5724
s1_z1728_y2688_x3264,2.472,0.1027,-0.0078,0.0501,-0.0063,1940
s1_z4608_y2112_x4800,2.472,0.1095,0.0132,0.0673,0.0084,5820
s4_z3072_y1792_x1024,2.472,0.1023,-0.004,0.0479,-0.0062,5543
s1_z12480_y4160_x2240,2.471,0.1305,0.0103,0.0685,-0.0012,15680
s1_z5952_y2496_x3264,2.471,0.1013,0.0088,0.0592,0.0019,5273
s1_z8192_y3328_x4096,2.471,0.1368,0.0147,0.0874,0.0045,7327
s1_z8192_y2816_x2816,2.47,0.1212,0.0074,0.0693,0.0004,6963
s4_z9728_y2048_x1280,2.47,0.1213,0.0038,0.0575,-0.0034,8148
s4_z1536_y512_x1792,2.465,0.1393,0.0154,0.0677,0.0025,6570
s4_z3328_y1280_x2560,2.465,0.0689,-0.0082,0.0358,-0.0057,3893
s1_z6912_y3840_x3840,2.459,0.1052,0.0113,0.0625,0.0045,11940
s1_z2112_y2688_x4416,2.457,0.1328,0.01,0.0717,-0.002,2273
s1_z5760_y2688_x4416,2.457,0.1451,0.0185,0.0883,0.0021,3034
s4_z6912_y1280_x2304,2.457,0.141,0.0082,0.0743,0.0,3895
s1_z1728_y2496_x3072,2.455,0.1575,0.0168,0.1006,0.007,2651
s4_z2304_y512_x2048,2.455,0.0754,0.0046,0.0436,0.0016,4598
s4_z6656_y1280_x1280,2.455,0.0677,-0.0019,0.0407,-0.0035,6443
s1_z1920_y2112_x4800,2.454,0.1302,-0.0004,0.0691,-0.0079,2614
s4_z4864_y1536_x2560,2.454,0.1136,0.0034,0.0476,-0.0032,7977
s1_z10880_y3520_x3520,2.453,0.1204,0.0107,0.0683,0.001,10745
s1_z7680_y3328_x2816,2.451,0.1403,0.0152,0.08,0.0006,10893
s1_z9216_y4096_x2816,2.45,0.1257,0.01,0.0778,0.0045,8476
s4_z2560_y1280_x2560,2.45,0.0683,0.0049,0.0417,0.0027,6419
s4_z1280_y2048_x1280,2.447,0.0746,-0.003,0.0349,-0.0044,6074
s1_z768_y2112_x3072,2.445,0.1506,0.0238,0.1036,0.0115,4672
s4_z4608_y2048_x2560,2.445,0.0987,0.0037,0.0481,-0.0002,5810
s4_z3840_y2048_x768,2.443,0.1011,-0.0001,0.0515,-0.0032,5236
s1_z12160_y3200_x2880,2.442,0.1131,0.0088,0.0708,0.002,25065
s4_z2048_y512_x2560,2.44,0.1272,0.0098,0.0565,0.0028,6343
s1_z5376_y2496_x4416,2.438,0.1425,0.0119,0.0928,0.004,4284
s4_z3072_y1536_x2560,2.437,0.0613,0.0005,0.0329,-0.0009,5490
s4_z4608_y1024_x1792,2.437,0.0741,0.0039,0.0379,0.0022,8575
s4_z5120_y2048_x2304,2.437,0.1159,-0.0001,0.0513,-0.0031,8286
s4_z4352_y2048_x768,2.435,0.097,-0.0051,0.0506,-0.0063,5422
s1_z3456_y2688_x3648,2.434,0.1118,0.0131,0.0746,0.0008,3430
s1_z4800_y2112_x2880,2.432,0.1605,0.0252,0.1028,0.015,5692
s4_z1792_y1792_x1280,2.432,0.1266,-0.003,0.0483,-0.0049,5694
s4_z4096_y2304_x768,2.432,0.1288,0.0071,0.0543,-0.0007,4760
s1_z384_y2112_x3072,2.431,0.1106,0.016,0.0843,0.0142,5492
s4_z1792_y1792_x1024,2.431,0.059,-0.0072,0.0322,-0.002,6555
s1_z5760_y2496_x4416,2.43,0.1567,0.0121,0.0785,-0.0055,3051
s4_z7424_y1792_x2304,2.426,0.1088,0.0017,0.0564,-0.0001,6741
s4_z9216_y1280_x2048,2.426,0.1392,0.0025,0.05,-0.0051,4114
s1_z576_y2880_x4032,2.425,0.1173,0.0188,0.0831,0.0093,4053
s1_z4416_y2688_x4800,2.424,0.1684,0.0321,0.1171,0.0176,3221
s4_z3584_y1536_x2560,2.424,0.0801,0.0072,0.0417,0.0003,4625
s4_z768_y768_x1280,2.424,0.1156,0.0036,0.0461,-0.0027,5557
s1_z3456_y2688_x3264,2.423,0.1285,0.0089,0.0758,0.0031,2378
s1_z5952_y3072_x4992,2.423,0.1047,-0.0002,0.0537,-0.0032,2913
s1_z11520_y4160_x3520,2.421,0.1121,0.0133,0.0687,0.0035,18344
s1_z2304_y2688_x4032,2.421,0.1269,0.0001,0.076,-0.0062,1912
s1_z5184_y2304_x4608,2.421,0.151,0.0144,0.0732,-0.0011,3962
s4_z1536_y768_x1280,2.421,0.1016,-0.0027,0.0367,-0.0036,5255
s4_z3072_y768_x1792,2.421,0.1037,0.005,0.0514,0.003,8139
s4_z6656_y1280_x768,2.42,0.0661,0.0015,0.0397,0.0004,6356
s4_z8704_y2304_x2304,2.42,0.1246,0.0121,0.0816,0.0042,5494
s1_z1920_y2496_x4800,2.418,0.1072,-0.0143,0.0621,-0.0098,2057
s1_z6336_y2688_x3648,2.417,0.1072,0.0024,0.0626,0.002,3477
s1_z1536_y2112_x3072,2.416,0.1117,0.0116,0.066,0.0036,6056
s1_z768_y2496_x4608,2.416,0.1431,0.0088,0.082,0.0007,3894
s1_z5184_y2304_x4416,2.415,0.1356,0.0175,0.0843,0.0096,5114
s4_z9728_y1024_x512,2.413,0.0986,-0.0076,0.0447,-0.0078,5174
s1_z5568_y2112_x4032,2.412,0.1006,0.0098,0.0623,0.0048,5982
s4_z1536_y2048_x1280,2.412,0.0872,-0.0045,0.0447,-0.0039,6460
s4_z5376_y2304_x1024,2.412,0.071,0.0,0.0381,-0.0006,5571
s4_z3072_y768_x2304,2.411,0.0702,0.0054,0.0382,0.0026,7931
s1_z384_y2880_x3456,2.409,0.1242,0.0144,0.0837,0.0052,3425
s1_z6144_y3648_x2880,2.409,0.1172,0.0147,0.0652,0.0047,4053
s4_z1280_y512_x1792,2.407,0.1277,0.0103,0.0578,0.0016,6100
s1_z8192_y3840_x3072,2.406,0.1649,0.025,0.0985,0.0078,7934
s1_z4416_y2112_x4992,2.405,0.1155,0.0144,0.0752,0.0044,3219
s4_z2304_y1280_x2304,2.405,0.151,0.018,0.0582,-0.0004,4325
s1_z9600_y3520_x2560,2.404,0.1019,0.0041,0.0605,0.0005,16112
s4_z4096_y2304_x1024,2.404,0.0752,-0.0009,0.0411,-0.0054,5646
s1_z1728_y2112_x2880,2.401,0.1261,0.0109,0.0568,0.0022,5245
s4_z3840_y1536_x2304,2.401,0.0654,-0.0003,0.0318,-0.003,4400
s4_z5376_y2048_x2304,2.401,0.0987,0.0027,0.0545,0.0021,6734
s4_z5120_y1024_x1536,2.398,0.0777,0.0009,0.0351,-0.0016,9135
s1_z4992_y2304_x2688,2.396,0.1352,0.0032,0.0873,0.0007,2826
s1_z10240_y3840_x3840,2.394,0.1349,0.0163,0.078,0.0013,13908
s4_z2048_y1792_x1024,2.394,0.0906,0.0031,0.039,-0.0035,5615
s1_z1728_y1920_x4608,2.39,0.1478,0.0025,0.0874,-0.0056,3432
s1_z768_y2880_x3840,2.389,0.0935,0.0111,0.05,0.0054,2900
s4_z7424_y1792_x1792,2.389,0.1265,-0.0088,0.0705,-0.0105,5405
s4_z9984_y2048_x1536,2.388,0.1094,0.0029,0.0543,-0.0006,9108
s4_z4608_y1024_x2304,2.387,0.071,0.0036,0.038,-0.0,7164
s1_z4416_y2496_x2688,2.386,0.1267,0.0004,0.087,-0.0028,3113
s4_z5376_y1280_x1024,2.383,0.095,-0.0067,0.0488,-0.0021,6603
s4_z4608_y768_x1792,2.382,0.0921,0.0028,0.0537,0.001,7130
s1_z6528_y3456_x2880,2.381,0.1407,0.0166,0.0774,0.001,3917
s4_z8704_y1792_x2048,2.381,0.1454,0.0093,0.0731,-0.0011,3108
s4_z7680_y2304_x2560,2.38,0.088,-0.0031,0.0476,-0.0049,6835
s4_z2560_y1024_x1280,2.379,0.1124,0.0076,0.0426,-0.0005,8082
s4_z5888_y1280_x2048,2.379,0.104,0.0066,0.0576,0.0007,9906
s4_z6400_y1792_x2560,2.379,0.1311,0.0058,0.0818,0.0043,4225
s4_z4864_y1280_x768,2.378,0.0873,-0.0006,0.0589,-0.0002,5480
s1_z768_y2880_x3648,2.377,0.1308,0.0207,0.0601,-0.0004,4435
s4_z3328_y512_x1792,2.377,0.0906,0.0094,0.0515,0.0003,7238
s4_z4864_y2048_x2560,2.376,0.0957,0.0018,0.0362,-0.0049,3411
s4_z2816_y1792_x1792,2.375,0.1113,0.0046,0.0557,0.0011,6317
s4_z6144_y1792_x2304,2.374,0.1189,-0.0005,0.0605,-0.0029,7074
s1_z9472_y3072_x2560,2.373,0.1374,0.0095,0.0843,0.002,6811
s4_z8448_y2304_x2304,2.373,0.1117,0.0039,0.0471,0.0014,8574
s4_z3328_y1536_x1024,2.372,0.0942,0.0002,0.047,-0.0018,7134
s1_z6720_y2688_x4032,2.371,0.1208,0.0162,0.073,0.0091,4503
s1_z9920_y2560_x2880,2.371,0.1191,0.0127,0.0795,0.004,23772
s4_z7424_y1536_x2048,2.369,0.0947,-0.0007,0.0427,-0.001,7162
s4_z9728_y2048_x1024,2.369,0.0692,-0.0001,0.0323,-0.0012,5736
s1_z11200_y3200_x2240,2.368,0.1265,0.01,0.0772,0.0029,20163
s1_z5760_y3072_x4992,2.368,0.1192,0.0064,0.0795,0.0034,2802
s1_z9472_y3584_x2560,2.365,0.1153,0.0056,0.0635,-0.0021,8260
s4_z6656_y1280_x1024,2.364,0.1057,0.0015,0.0479,-0.0034,6615
s1_z8448_y4096_x3584,2.363,0.1151,0.0077,0.0547,-0.0017,9694
s4_z7168_y1536_x1536,2.363,0.1021,-0.0045,0.0522,-0.005,4256
s1_z2112_y2688_x4032,2.361,0.1366,0.0033,0.074,-0.0058,1875
s4_z6912_y2048_x2560,2.361,0.0788,0.0036,0.0401,-0.0016,4270
s1_z6720_y3840_x3456,2.359,0.1405,0.0222,0.0855,0.0073,4574
s4_z1024_y1280_x1024,2.358,0.0805,-0.0014,0.0365,-0.0037,3817
s1_z4800_y2688_x4992,2.357,0.1176,0.0202,0.0824,0.0094,2208
s1_z7680_y3072_x4352,2.356,0.1519,0.0147,0.0815,-0.0009,6459
s1_z576_y2688_x4608,2.355,0.1009,0.0043,0.056,-0.0018,3356
s1_z6912_y3840_x3072,2.353,0.1124,0.0122,0.06,0.0017,9794
s1_z3456_y2496_x4032,2.352,0.1312,0.01,0.0779,-0.0034,3891
s1_z11840_y3520_x3520,2.351,0.1193,0.0142,0.0651,0.0052,18761
s1_z384_y2304_x4992,2.351,0.1415,0.0202,0.0924,0.0066,3111
s1_z6720_y3072_x2496,2.349,0.14,0.015,0.0873,0.0017,2932
s4_z3584_y512_x2304,2.347,0.0438,-0.0014,0.02,-0.0035,2183
s4_z3840_y2048_x1792,2.345,0.1077,0.0023,0.0494,-0.0026,7181
s4_z4608_y1792_x2816,2.344,0.0763,-0.0027,0.0368,-0.0039,3849
s1_z5376_y3072_x4608,2.343,0.0737,0.0018,0.0327,-0.0051,3763
s1_z5760_y2496_x2688,2.341,0.1442,-0.0002,0.0869,-0.0019,2401
s1_z6336_y2880_x4224,2.339,0.1334,0.0253,0.0879,0.0136,3594
s4_z1536_y1024_x2560,2.339,0.0721,0.0021,0.0419,0.0002,2263
s1_z4416_y2688_x2688,2.338,0.1386,0.0072,0.0687,-0.0013,4082
s4_z2816_y512_x2304,2.338,0.0822,0.0094,0.0429,0.0024,9398
s1_z8448_y4096_x3072,2.335,0.1371,0.0074,0.0625,-0.0039,9167
s4_z1024_y1024_x1024,2.335,0.08,-0.0029,0.0355,-0.0043,4370
s1_z10880_y3200_x3520,2.334,0.1346,0.0137,0.0626,-0.0013,21840
s1_z192_y2112_x4800,2.334,0.1305,0.0104,0.0707,0.0031,5878
s4_z2048_y768_x2560,2.333,0.078,0.0042,0.039,-0.0011,3852
s1_z10240_y3520_x2560,2.332,0.135,0.0174,0.0796,0.0052,14183
s4_z5120_y2048_x2816,2.332,0.1144,-0.0024,0.0635,-0.0016,3283
s4_z7936_y1536_x2048,2.33,0.1252,0.0016,0.0579,-0.0036,6165
s1_z7680_y3840_x4096,2.329,0.1189,0.0133,0.0627,0.0006,11641
s4_z3072_y512_x1792,2.329,0.0792,0.0018,0.0391,-0.0012,7507
s1_z1536_y1728_x4224,2.328,0.1144,0.0147,0.0656,0.0048,4155
s1_z9920_y3200_x3840,2.328,0.1157,0.0117,0.0669,0.0031,15963
s4_z768_y1536_x1024,2.328,0.1113,0.0093,0.0509,0.0001,5073
s1_z9600_y3840_x3840,2.327,0.1193,0.0141,0.0626,0.0035,15572
s4_z5120_y1792_x2560,2.326,0.0951,-0.0022,0.0413,-0.0035,5252
s4_z2816_y1792_x768,2.322,0.0581,-0.0116,0.0329,-0.0107,5406
s4_z7424_y1792_x2048,2.321,0.1237,-0.0154,0.0574,-0.0083,4100
s1_z192_y2112_x3072,2.318,0.1422,0.0159,0.0876,-0.0004,4699
s1_z4800_y2496_x4608,2.318,0.1303,0.0077,0.0823,0.0002,2845
s4_z4864_y1792_x2560,2.318,0.0957,-0.0003,0.0448,-0.0009,5330
s4_z7936_y1280_x1536,2.318,0.0897,-0.0063,0.0362,-0.0066,5263
s4_z6144_y1536_x2048,2.316,0.117,0.0005,0.0604,-0.002,8014
s4_z768_y2048_x1792,2.316,0.0905,-0.0032,0.0396,-0.005,3547
s1_z12480_y3520_x3200,2.315,0.1044,0.0098,0.0589,0.0001,19546
s1_z10240_y2880_x3520,2.313,0.1175,0.009,0.0614,0.0032,19207
s1_z3840_y2496_x2496,2.313,0.1434,0.0142,0.1019,0.0056,2427
s1_z5568_y2304_x4416,2.313,0.1257,0.0159,0.0755,0.0034,4757
s1_z6144_y2496_x3264,2.313,0.1307,0.014,0.0757,0.0021,3659
s1_z6336_y3456_x4800,2.313,0.1414,0.023,0.0921,0.0044,2609
s1_z4800_y2496_x5184,2.311,0.1338,-0.0015,0.0704,0.0014,1080
s1_z2304_y2112_x4800,2.31,0.1252,0.0042,0.0703,-0.0029,3101
s4_z2048_y2048_x1280,2.31,0.1012,0.0074,0.0547,0.0014,4309
s1_z3456_y2496_x3840,2.309,0.1045,0.0097,0.0474,0.0006,4279
s4_z4352_y1024_x1024,2.307,0.0787,-0.0015,0.0419,-0.0018,6561
s4_z7424_y1536_x1024,2.307,0.0886,-0.0074,0.0455,-0.0046,5456
s4_z7680_y1024_x1280,2.307,0.0939,0.0009,0.0399,-0.0013,5585
s4_z1024_y512_x1536,2.306,0.0834,0.0038,0.0378,0.0005,7326
s1_z11520_y3520_x2240,2.305,0.1111,0.0041,0.0643,0.0024,15429
s4_z5632_y1024_x1536,2.305,0.0921,-0.0076,0.0431,-0.0042,6137
s1_z1344_y2688_x2880,2.304,0.1418,-0.0022,0.0594,-0.0028,3084
s1_z8960_y2560_x2560,2.304,0.1103,0.0093,0.062,0.0016,7785
s1_z9472_y3840_x2560,2.302,0.0871,-0.0012,0.0427,-0.0016,9590
s1_z5376_y2496_x4608,2.298,0.1252,0.0043,0.0654,-0.0013,4075
s1_z9472_y2816_x2560,2.298,0.1597,0.0116,0.0996,0.0059,7293
s1_z9920_y4480_x3520,2.298,0.1188,0.0093,0.0734,-0.0,16662
s1_z1344_y2112_x4800,2.296,0.1244,0.0043,0.0694,-0.004,3195
s1_z9216_y3328_x2560,2.294,0.0964,0.0042,0.0601,0.0033,8532
s4_z2560_y1280_x1024,2.293,0.0842,-0.0011,0.0435,-0.001,5171
s4_z4864_y2560_x1536,2.293,0.0537,0.0003,0.0292,-0.0022,4313
s4_z4352_y768_x2048,2.291,0.0994,-0.0004,0.0401,-0.0038,6468
s1_z576_y2112_x4800,2.289,0.1455,0.0223,0.0948,0.0114,4973
s4_z9728_y1792_x768,2.289,0.0869,0.0045,0.0424,-0.002,7030
s1_z10880_y2880_x3200,2.288,0.1279,0.0122,0.0737,0.002,24095
s4_z9472_y2048_x2048,2.287,0.0777,-0.0004,0.0373,-0.0031,4067
s1_z5376_y2304_x4416,2.286,0.1427,0.0138,0.0667,-0.0016,5252
s1_z4416_y2688_x3264,2.285,0.1476,0.0179,0.0838,0.0051,3130
s1_z6144_y2496_x3648,2.283,0.136,0.0258,0.0842,0.0133,3190
s1_z4032_y2304_x2496,2.282,0.1216,0.0085,0.0778,0.0011,2933
s1_z5952_y3840_x3264,2.282,0.0987,0.0128,0.0648,0.0032,6494
s4_z1280_y2048_x2048,2.282,0.0746,0.0032,0.0383,-0.0015,4626
s1_z1152_y2688_x4608,2.281,0.131,0.0187,0.0843,0.0102,2764
s1_z12160_y4480_x3200,2.281,0.1084,0.0093,0.0617,0.0013,17416
s1_z960_y2304_x4800,2.281,0.1371,0.0101,0.0756,0.0033,3343
s1_z3456_y2688_x3072,2.28,0.1191,0.0018,0.0697,0.0017,2621
s4_z3072_y1792_x1792,2.28,0.0663,0.0025,0.035,0.0006,8330
s4_z3584_y768_x1280,2.279,0.0812,-0.0025,0.0389,-0.0021,9890
s1_z8192_y3328_x2816,2.278,0.1112,0.0064,0.055,-0.001,8588
s4_z5120_y1792_x768,2.277,0.0959,0.0015,0.0475,-0.0035,4707
s4_z3840_y2048_x2048,2.276,0.0603,-0.0031,0.0423,-0.0023,6960
s4_z5376_y1280_x768,2.276,0.1292,0.01,0.0724,0.0001,7100
s4_z5888_y1536_x1024,2.276,0.0935,0.0003,0.0543,-0.0004,8517
s4_z7936_y2304_x2304,2.276,0.1017,0.0017,0.0382,-0.003,6373
s4_z9728_y2304_x1536,2.276,0.0964,0.0088,0.0527,0.0041,7807
s1_z5376_y3264_x4608,2.274,0.1205,0.0202,0.0737,0.006,4160
s4_z7680_y2048_x2048,2.274,0.1396,0.0044,0.0664,-0.0064,4263
s1_z5184_y2496_x4800,2.273,0.1174,0.0064,0.0566,-0.0038,3332
s4_z8960_y2304_x2048,2.271,0.0743,0.0036,0.0397,0.0003,3811
s4_z9216_y2304_x1280,2.271,0.1002,-0.0001,0.0422,-0.0054,5114
s4_z2560_y2048_x1792,2.27,0.1022,0.0056,0.0455,0.0007,5360
s4_z3584_y2048_x1792,2.27,0.0928,0.0029,0.0439,-0.0017,4901
s1_z5760_y3072_x2880,2.267,0.1043,-0.0023,0.062,-0.004,3288
s4_z4352_y1536_x1024,2.267,0.1137,0.0011,0.0544,-0.0011,4970
s1_z5952_y2304_x3648,2.264,0.1073,0.0066,0.0648,0.0016,4188
s1_z8448_y3072_x4096,2.264,0.1324,0.0083,0.0732,0.002,13066
s4_z4864_y1024_x1536,2.264,0.0725,0.0038,0.0362,0.0002,8981
s4_z5120_y2304_x1024,2.264,0.0829,-0.0024,0.0452,-0.0016,5421
s4_z3328_y768_x2048,2.263,0.1054,0.0028,0.0584,-0.0001,8639
s1_z192_y2880_x4608,2.262,0.1248,0.0025,0.073,-0.0055,3724
s4_z5376_y1024_x1536,2.262,0.0721,0.0041,0.0344,0.0001,7124
s4_z6144_y2304_x2560,2.262,0.097,0.0049,0.0465,-0.0026,6807
s4_z2304_y1792_x2048,2.26,0.112,0.009,0.0543,0.0004,5493
s4_z3328_y768_x1280,2.259,0.0668,-0.0009,0.0363,-0.0025,7336
s1_z4800_y2496_x2688,2.258,0.106,0.0027,0.0603,-0.0028,3178
s4_z8448_y1792_x2048,2.258,0.1126,0.0052,0.0513,-0.0008,7271
s4_z2048_y1536_x2304,2.257,0.0904,0.0066,0.0422,-0.0032,5539
s1_z10560_y3520_x3840,2.256,0.1131,0.016,0.0535,0.0041,12471
s1_z960_y1920_x4416,2.253,0.1012,0.0159,0.0643,0.0066,5831
s4_z8960_y1024_x2048,2.251,0.0674,0.0017,0.0338,-0.0004,10737
s1_z4608_y3072_x3456,2.25,0.1032,0.0131,0.0485,0.004,4953
s1_z1344_y2688_x3648,2.248,0.1253,0.0212,0.0536,0.003,2047
s1_z5568_y2304_x2688,2.248,0.0909,0.0081,0.0626,0.0026,3425
s4_z5376_y2304_x768,2.248,0.0941,-0.0043,0.043,-0.0022,5105
s1_z1920_y2688_x3648,2.245,0.0803,0.0049,0.0396,-0.0034,1900
s1_z960_y2112_x3072,2.245,0.1327,0.0121,0.0887,0.0064,4417
s4_z5120_y2304_x1280,2.245,0.1103,0.0026,0.0505,-0.004,5377
s4_z2048_y1792_x2304,2.244,0.0749,0.0015,0.0377,-0.0017,5266
s1_z3456_y2688_x2688,2.243,0.1786,0.0236,0.0859,0.0038,3266
s1_z5376_y3264_x4032,2.243,0.1438,0.0108,0.0707,-0.001,2612
s1_z6720_y2880_x2496,2.243,0.1303,0.0116,0.0717,-0.0002,2891
s4_z6656_y1536_x2304,2.243,0.0471,-0.0143,0.0223,-0.0072,5478
s1_z4416_y2688_x4416,2.242,0.1032,0.0014,0.0679,-0.0003,2731
s4_z4352_y2048_x2560,2.242,0.0485,-0.0103,0.0236,-0.0059,4962
s4_z6656_y2304_x2304,2.242,0.0639,-0.0,0.0317,-0.0033,6098
s4_z2560_y768_x1536,2.241,0.0481,-0.0009,0.0298,-0.0006,8516
s1_z5760_y2112_x3648,2.238,0.1104,0.0158,0.0626,0.0037,2986
s4_z1024_y2048_x1792,2.237,0.1039,0.0058,0.0528,-0.002,3233
s1_z960_y2880_x3840,2.236,0.1387,0.0169,0.0879,0.0074,1922
s1_z12480_y3520_x3520,2.234,0.1108,0.0142,0.0593,0.0053,15240
s4_z5376_y1792_x2816,2.233,0.0927,-0.0035,0.0452,-0.0071,4823
s1_z4608_y2688_x3072,2.232,0.129,0.0177,0.086,0.0042,3591
s4_z2560_y1536_x1024,2.232,0.1019,-0.0004,0.0418,-0.0025,4175
s1_z6720_y3648_x3072,2.231,0.1189,0.0098,0.0786,0.0018,4479
s1_z960_y2688_x4800,2.231,0.1491,0.0265,0.0881,0.0103,2368
s4_z5632_y1280_x2304,2.231,0.0736,0.0017,0.0384,-0.0005,8076
s1_z7424_y3328_x3072,2.23,0.1175,0.0097,0.0666,0.0041,10575
s1_z768_y2304_x4800,2.225,0.1198,0.0082,0.073,0.0004,3077
s1_z5760_y3456_x3072,2.224,0.1289,0.0162,0.0795,0.0079,4714
s1_z8448_y2816_x2816,2.223,0.1443,0.0182,0.087,0.005,6488
s4_z5376_y1024_x2048,2.223,0.106,0.0043,0.0452,0.0015,8177
s1_z192_y1920_x3264,2.221,0.0956,0.0148,0.0539,0.0108,6249
s4_z2560_y1792_x768,2.22,0.1119,0.0069,0.0503,-0.0011,6134
